"행정구역별","산업별","조직형태별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","비법인단체","종사자수[명]","명","18781","18689","529","42","64","120","122","115","153","140","99","96","113","234","7",
"전국","건설업(41~42)","계","사업체수[개]","개","94297","97535","97198","97391","98859","106059","111181","118767","129667","133797","137220","138478","142840","146293","158401",
"전국","건설업(41~42)","계","종사자수[명]","명","837870","853524","885116","902802","1176826","1117786","1059721","1045603","1103794","1317337","1392554","1438640","1481673","1504466","1431792",
"전국","건설업(41~42)","개인사업체","사업체수[개]","개","50546","51971","51936","51603","52147","54609","58147","60056","65154","68538","71661","71933","73969","76598","83495",
"전국","건설업(41~42)","개인사업체","종사자수[명]","명","141664","147277","157733","152139","150592","159157","160925","167067","187017","205615","224930","238249","247941","275086","179997",
"전국","건설업(41~42)","회사법인","사업체수[개]","개","43188","45268","44984","45661","46575","51342","52950","58591","64339","65089","65365","66287","68595","69335","74621",
"전국","건설업(41~42)","회사법인","종사자수[명]","명","689437","701746","721259","746065","1021838","955157","895749","874803","912926","1107275","1162648","1195225","1228642","1222977","1246832",
"전국","건설업(41~42)","회사이외법인","사업체수[개]","개","557","287","208","86","103","82","65","88","143","154","172","229","253","331","268",
"전국","건설업(41~42)","회사이외법인","종사자수[명]","명","6102","4165","5425","4282","4163","3310","2892","3341","3544","4265","4779","4957","4870","6136","4852",
"전국","건설업(41~42)","비법인단체","사업체수[개]","개","6","9","70","41","34","26","19","32","31","16","22","29","23","29","17",
"전국","건설업(41~42)","비법인단체","종사자수[명]","명","667","336","699","316","233","162","155","392","307","182","197","209","220","267","111",
"전국","도매 및 소매업(45~47)","계","사업체수[개]","개","860547","864543","856901","858619","873632","901399","939357","957058","993971","1015117","1017340","1022739","1027109","1028323","1064434",
"전국","도매 및 소매업(45~47)","계","종사자수[명]","명","2500253","2547330","2554013","2618346","2618185","2689305","2782007","2885740","3007745","3129601","3141900","3173320","3250867","3289652","2962630",
"전국","도매 및 소매업(45~47)","개인사업체","사업체수[개]","개","777187","775253","765243","761449","770350","789893","814206","822290","840182","863238","854823","849410","849887","842293","863005",
"전국","도매 및 소매업(45~47)","개인사업체","종사자수[명]","명","1646170","1660392","1634885","1648401","1638496","1687428","1730724","1744976","1788710","1857937","1827833","1824888","1834970","1855909","1572697",
"전국","도매 및 소매업(45~47)","회사법인","사업체수[개]","개","78114","83716","85722","91137","96966","105844","118450","126812","143463","141957","153124","163118","167039","175077","190695",
"전국","도매 및 소매업(45~47)","회사법인","종사자수[명]","명","821423","851108","878906","927523","938193","962311","1006248","1086690","1155699","1213990","1254518","1286947","1353835","1366869","1329651",
"전국","도매 및 소매업(45~47)","회사이외법인","사업체수[개]","개","5191","5505","5622","5758","5837","5126","6121","7314","9633","9280","8709","9438","9464","10166","10503",
"전국","도매 및 소매업(45~47)","회사이외법인","종사자수[명]","명","32318","35450","38859","41212","39871","37348","42845","51245","60506","55004","56124","57366","58809","63236","59810",
"전국","도매 및 소매업(45~47)","비법인단체","사업체수[개]","개","55","69","314","275","479","536","580","642","693","642","684","773","719","787","231",
"전국","도매 및 소매업(45~47)","비법인단체","종사자수[명]","명","342","380","1363","1210","1625","2218","2190","2829","2830","2670","3425","4119","3253","3638","472",
"전국","운수 및 창고업(49~52)","계","사업체수[개]","개","340013","338825","340550","343986","347289","354142","364349","371628","379044","379388","385968","386919","400282","409288","420889",
"전국","운수 및 창고업(49~52)","계","종사자수[명]","명","869653","885737","929684","976105","989773","998457","1012741","1015915","1049058","1096051","1111060","1115990","1145752","1155965","1091939",
"전국","운수 및 창고업(49~52)","개인사업체","사업체수[개]","개","321369","319276","320177","322722","325633","331722","340156","346416","351358","352145","358127","358462","370740","378710","389488",
"전국","운수 및 창고업(49~52)","개인사업체","종사자수[명]","명","387195","386404","385509","391606","393293","401460","407101","414021","421863","424141","433045","431313","444029","454972","440631",
"전국","운수 및 창고업(49~52)","회사법인","사업체수[개]","개","16202","16942","17538","18399","18742","19550","21227","22028","24278","23491","24080","24647","25715","26692","27490",
"전국","운수 및 창고업(49~52)","회사법인","종사자수[명]","명","422927","438796","483273","524407","534120","535171","547736","542749","563520","598619","601485","607643","620537","615716","566142",
"전국","운수 및 창고업(49~52)","회사이외법인","사업체수[개]","개","2251","2413","2529","2547","2584","2525","2612","2808","2974","3358","3386","3426","3485","3542","3807",
"전국","운수 및 창고업(49~52)","회사이외법인","종사자수[명]","명","55494","56475","58086","57438","60012","59042","55061","56568","60014","70652","74111","74349","78834","82496","84443",
"전국","운수 및 창고업(49~52)","비법인단체","사업체수[개]","개","191","194","306","318","330","345","354","376","434","394","375","384","342","344","104",
"전국","운수 및 창고업(49~52)","비법인단체","종사자수[명]","명","4037","4062","2816","2654","2348","2784","2843","2577","3661","2639","2419","2685","2352","2781","723",
"전국","숙박 및 음식점업(55~56)","계","사업체수[개]","개","624450","627039","624605","628624","636278","654892","673064","685669","702596","710248","729175","747577","766315","785706","829555",
"전국","숙박 및 음식점업(55~56)","계","종사자수[명]","명","1671710","1718029","1721990","1755201","1760917","1834978","1909081","1986673","2067166","2114297","2162823","2214879","2326716","2384828","2023871",
"전국","숙박 및 음식점업(55~56)","개인사업체","사업체수[개]","개","617023","618851","615869","618922","625086","641953","657257","667565","679866","684922","701696","717492","733175","750019","789692",
"전국","숙박 및 음식점업(55~56)","개인사업체","종사자수[명]","명","1526639","1562264","1561819","1575167","1569645","1631623","1682430","1734092","1775663","1792483","1830859","1879247","1961299","2017986","1699381",
"전국","숙박 및 음식점업(55~56)","회사법인","사업체수[개]","개","6881","7584","8047","8922","10241","11967","14572","16625","20863","23339","25252","27507","30274","32507","36435",
"전국","숙박 및 음식점업(55~56)","회사법인","종사자수[명]","명","138838","149471","153172","171434","182278","194300","216199","240281","277917","308049","316383","318936","346597","345222","305424",
"전국","숙박 및 음식점업(55~56)","회사이외법인","사업체수[개]","개","374","455","534","620","679","637","834","1029","1334","1424","1555","1826","2053","2262","3306",
"전국","숙박 및 음식점업(55~56)","회사이외법인","종사자수[명]","명","4675","4980","6166","7557","7657","7113","8245","9602","10734","10994","11883","12605","13993","16010","18694",
"전국","숙박 및 음식점업(55~56)","비법인단체","사업체수[개]","개","172","149","155","160","272","335","401","450","533","563","672","752","813","918","122",
"전국","숙박 및 음식점업(55~56)","비법인단체","종사자수[명]","명","1558","1314","833","1043","1337","1942","2207","2698","2852","2771","3698","4091","4827","5610","372",
"전국","정보통신업(58~63)","계","사업체수[개]","개","23826","24271","23787","24306","26299","29902","33779","35290","40304","42425","42539","42887","43888","45303","49435",
"전국","정보통신업(58~63)","계","종사자수[명]","명","401805","416971","427382","432928","464158","476412","493205","509785","528102","562946","567284","575886","599006","606964","620982",
"전국","정보통신업(58~63)","개인사업체","사업체수[개]","개","8393","8265","7955","7680","8472","9682","11509","11915","13428","13835","14062","13854","14334","14519","16290",
"전국","정보통신업(58~63)","개인사업체","종사자수[명]","명","31386","31254","30208","28708","29856","32937","34477","34803","37752","38772","38721","36434","36050","34987","35427",
"전국","정보통신업(58~63)","회사법인","사업체수[개]","개","12329","12874","12639","13439","14609","16939","18986","20032","23525","25215","25131","25644","26147","27355","29851",
"전국","정보통신업(58~63)","회사법인","종사자수[명]","명","308447","323353","330611","338557","369049","376984","393392","409740","426401","459952","464884","475737","498022","506527","522676",
"전국","정보통신업(58~63)","회사이외법인","사업체수[개]","개","399","400","3047","3138","3137","3183","3154","3176","3187","3247","3213","3229","3273","3267","3260",
"전국","정보통신업(58~63)","회사이외법인","종사자수[명]","명","13556","13759","64421","65252","64484","65972","64872","64599","62686","63678","63053","63007","64436","64797","62797",
"전국","정보통신업(58~63)","비법인단체","사업체수[개]","개","2705","2732","146","49","81","98","130","167","164","128","133","160","134","162","34",
"전국","정보통신업(58~63)","비법인단체","종사자수[명]","명","48416","48605","2142","411","769","519","464","643","1263","544","626","708","498","653","82",
"전국","금융 및 보험업(64~66)","계","사업체수[개]","개","35572","36996","37576","38408","39485","40814","41799","41609","41969","42192","42809","43514","43568","43555","43242",
"전국","금융 및 보험업(64~66)","계","종사자수[명]","명","621959","641552","672222","692071","714769","726870","724771","707246","705824","745257","730963","726907","711494","715399","680970",
"전국","금융 및 보험업(64~66)","개인사업체","사업체수[개]","개","5448","5417","5043","5004","5032","5099","5205","5130","5271","4786","5337","5727","5836","6070","6372",
"전국","금융 및 보험업(64~66)","개인사업체","종사자수[명]","명","13007","12909","12766","12405","11277","11648","11238","10111","11105","10683","12599","12930","12298","13816","11120",
"전국","금융 및 보험업(64~66)","회사법인","사업체수[개]","개","18528","19698","20384","21095","21873","22836","25125","24270","24362","25051","25142","25375","25121","24762","24058",
"전국","금융 및 보험업(64~66)","회사법인","종사자수[명]","명","448741","468271","493172","512900","537812","543904","568344","539259","536581","575576","559807","553780","532377","528589","493819",
"전국","금융 및 보험업(64~66)","회사이외법인","사업체수[개]","개","11593","11874","12098","12300","12561","12857","11427","12149","12285","12307","12253","12326","12550","12632","12603",
"전국","금융 및 보험업(64~66)","회사이외법인","종사자수[명]","명","160096","160282","165911","166726","165616","171092","144931","157490","157678","158766","158245","159857","166565","172554","175674",
"전국","금융 및 보험업(64~66)","비법인단체","사업체수[개]","개","3","7","51","9","19","22","42","60","51","48","77","86","61","91","209",
"전국","금융 및 보험업(64~66)","비법인단체","종사자수[명]","명","115","90","373","40","64","226","258","386","460","232","312","340","254","440","357",
"전국","부동산업(68)","계","사업체수[개]","개","106075","110768","112817","114083","114006","117682","119049","119832","127228","131079","143461","152083","160152","168481","177046",
"전국","부동산업(68)","계","종사자수[명]","명","388832","393408","403852","411358","417457","417280","412396","421102","445495","464340","501974","504790","520591","537841","510503",
"전국","부동산업(68)","개인사업체","사업체수[개]","개","79322","82125","83888","83866","82911","84981","84116","84065","87538","89657","99578","105295","110424","110263","114883",
"전국","부동산업(68)","개인사업체","종사자수[명]","명","134507","138862","138441","138285","135349","139862","138469","138266","145255","148624","166923","168606","172720","170901","156320",
"전국","부동산업(68)","회사법인","사업체수[개]","개","10614","9310","10229","10711","11730","12394","13977","14395","17604","19460","21113","23163","25863","32598","36511",
"전국","부동산업(68)","회사법인","종사자수[명]","명","117145","98113","112324","111899","132709","125626","123161","130968","149178","166388","178814","177640","185638","199498","192056",
"전국","부동산업(68)","회사이외법인","사업체수[개]","개","16098","19287","1653","1567","976","941","1069","1074","1273","1304","1606","1495","1596","2186","17070",
"전국","부동산업(68)","회사이외법인","종사자수[명]","명","136576","155811","24809","23806","15528","15418","14625","15020","16575","17858","22164","20442","20983","25649","128869",
"전국","부동산업(68)","비법인단체","사업체수[개]","개","41","46","17047","17939","18389","19366","19887","20298","20813","20658","21164","22130","22269","23434","8582",
"전국","부동산업(68)","비법인단체","종사자수[명]","명","604","622","128278","137368","133871","136374","136141","136848","134487","131470","134073","138102","141250","141793","33258",
"전국","전문, 과학 및 기술 서비스업(70~73)","계","사업체수[개]","개","62506","64975","66517","67721","70372","76792","84260","87868","96865","102866","103223","104252","112302","118129","129778",
"전국","전문, 과학 및 기술 서비스업(70~73)","계","종사자수[명]","명","569071","627291","691543","732048","769087","788454","814647","865241","930441","998123","1002371","1010154","1075234","1132049","1159853",
"전국","전문, 과학 및 기술 서비스업(70~73)","개인사업체","사업체수[개]","개","44099","44691","44554","44127","45176","48217","52630","53383","57208","60333","62014","61588","65547","67897","73781",
"전국","전문, 과학 및 기술 서비스업(70~73)","개인사업체","종사자수[명]","명","151617","155747","158109","154784","155741","164584","170594","172674","180959","193207","200749","195003","201369","204113","199230",
"전국","전문, 과학 및 기술 서비스업(70~73)","회사법인","사업체수[개]","개","15129","16401","17874","19257","20322","23028","25678","26955","30729","33055","31583","32518","35871","38480","43877",
"전국","전문, 과학 및 기술 서비스업(70~73)","회사법인","종사자수[명]","명","336102","375380","430852","470965","494618","501484","509952","544287","582349","625762","613666","619201","663589","698231","720057",
"전국","전문, 과학 및 기술 서비스업(70~73)","회사이외법인","사업체수[개]","개","2923","3509","3751","3940","4445","5024","5318","6808","8199","8850","9040","9463","10245","11045","11961",
"전국","전문, 과학 및 기술 서비스업(70~73)","회사이외법인","종사자수[명]","명","68704","82513","99056","101587","115989","118946","130683","144806","163865","176329","185146","192871","207776","226765","240188",
"전국","전문, 과학 및 기술 서비스업(70~73)","비법인단체","사업체수[개]","개","355","374","338","397","429","523","634","722","729","628","586","683","639","707","159",
"전국","전문, 과학 및 기술 서비스업(70~73)","비법인단체","종사자수[명]","명","12648","13651","3526","4712","2739","3440","3418","3474","3268","2825","2810","3079","2500","2940","378",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계","사업체수[개]","개","45740","46321","45650","46231","48268","52823","56639","59755","65603","66668","67237","68177","70542","73282","77568",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","계","종사자수[명]","명","609741","692982","716917","745494","830441","848917","897401","983585","1025145","1127653","1148968","1168096","1187986","1192036","1108666",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","개인사업체","사업체수[개]","개","27539","26801","26071","25539","25975","27553","29004","30063","32932","32849","34330","34428","36046","37872","41161",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","개인사업체","종사자수[명]","명","86597","89187","89160","96524","99459","108730","113554","110949","116635","125500","119336","110846","109677","127868","104988",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","회사법인","사업체수[개]","개","16760","17964","17958","18966","20457","23208","25396","27180","29837","30699","29928","30501","31311","31988","33074",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","회사법인","종사자수[명]","명","505168","578247","600598","618527","706597","712026","752842","839453","872840","959417","991811","1018459","1039521","1017764","959691",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","회사이외법인","사업체수[개]","개","1266","1366","718","673","686","790","887","1002","1271","1442","1468","1631","1684","1804","2587",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","회사이외법인","종사자수[명]","명","16638","23498","22146","25061","18860","21332","23432","24434","26663","30295","29620","29673","31188","33718","41725",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","비법인단체","사업체수[개]","개","175","190","903","1053","1150","1272","1352","1510","1563","1678","1511","1617","1501","1618","746",
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","비법인단체","종사자수[명]","명","1338","2050","5013","5382","5525","6829","7573","8749","9007","12441","8201","9118","7600","12686","2262",
"전국","공공행정, 국방 및 사회보장 행정(84)","계","사업체수[개]","개","12266","12044","11755","11665","11869","11903","11939","12027","12057","12364","12454","12488","12521","12570","12385",
"전국","공공행정, 국방 및 사회보장 행정(84)","계","종사자수[명]","명","543025","558755","574074","657680","662894","636419","637871","645053","648966","687969","691270","706780","734566","768733","819440",
"전국","공공행정, 국방 및 사회보장 행정(84)","개인사업체","사업체수[개]","개","2","2","1","1","2","2","2","1","","","","","","","",
"전국","공공행정, 국방 및 사회보장 행정(84)","개인사업체","종사자수[명]","명","X","X","X","X","X","X","X","X","","","","","","","",
"전국","공공행정, 국방 및 사회보장 행정(84)","회사법인","사업체수[개]","개","","1","1","1","2","","2","","","","","1","","","2",
"전국","공공행정, 국방 및 사회보장 행정(84)","회사법인","종사자수[명]","명","","X","X","X","X","","X","","","","","X","","","X",
"전국","공공행정, 국방 및 사회보장 행정(84)","회사이외법인","사업체수[개]","개","136","144","11728","11651","11853","11890","11928","12022","12048","12358","12446","12465","12504","12526","12377",
